kana,meaning,explain,example,example_explain
あ,03 「あ」表示“热”，以“あ＋た行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あたたか「暖か·温か」 ③②（形动）：暖和的，温暖的,"解 あたた→热→温暖，か→形容动词后缀。
例 温あたた かな家か 庭てい を持も っている。/我拥有温暖的家庭。"
あ,03 「あ」表示“热”，以“あ＋た行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あたためる「暖める·温める」 ④（他一）：温暖；加热,"解 あたた→热，める→他动词后缀。
例 このお弁当べんとう を温あたた めてください。/请热一下这份便当。"
あ,03 「あ」表示“热”，以“あ＋た行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あたたまる「暖まる·温まる」 ④（自五）：温暖；热,"解 「あたたまる」为「あたためる」的自动词。まる→自动词后缀。
例 お風ふ 呂ろ に入はい って体からだ が暖あたた まってきた。/泡了个澡，身体暖和起来了。"
あ,03 「あ」表示“热”，以“あ＋た行假名”为代表,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あつかましい「厚かましい」 ⑤（形）：厚脸皮的，不害羞的,"解 あつ→厚，かましい→形容词后缀，多用于带有消极含义的形容词。
例 あの人ひと は本当ほんとう に厚あつ かましいね。/那个人脸皮真厚啊。"
あ,04 「あ」表示“向上移动，上，上方”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あぶる「炙る」 ②（他五）：烤；晒,"解 あ→热，ぶる→振る→晃动，在热的地方晃动→烤，晒。
例 肉にく を火ひ で炙あぶ る。/在火上烤肉。
熟词联想 あげる「上げる」：举起
あに「兄」：哥哥，兄长"
あ,04 「あ」表示“向上移动，上，上方”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あげる「上げる·挙げる·揚げる」 ⓪（他一）：向上；给，送给；举起；炸东西；完成,"解 あ→向上。
派 本义为“向上移动”。1. 举起（举起意为使物体向上移动）；2. 给，送给（日本人很尊敬别人，认为别人在上，自己在下，所以给别人东西是使物体向上移动的过程）；3. 炸东西（食物放入油锅，会上浮到表面）；4. 完成（完成的作品会存放到高处）。
例 手て を上あ げてください。/请举手。
友とも 達だち にプレゼントをあげる。/送给朋友礼物。
天てん ぷらを揚あ げる/炸天妇罗
仕し 事ごと を上あ げる/完成工作"
あ,04 「あ」表示“向上移动，上，上方”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あがる「上がる·挙がる·揚がる」 ⓪（自五）：上；升起；提高；炸好；完成,"解 「あがる」为「あげる」的自动词。
例 先生せんせい の授じゅ 業ぎょう を聞き いて成せい 績せき が上あ がった。/听了老师的课后，我的成绩提高了。"
あ,04 「あ」表示“向上移动，上，上方”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あに「兄」 ①（名）：（自己的）哥哥,"解 あ→上方的，に→おにいさん，哥哥。
例 兄あに は会かい 社しゃ 員いん だ。/哥哥是公司职员。"
あ,04 「あ」表示“向上移动，上，上方”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あね「姉」 ⓪（名）：（自己的）姐姐,"解 あ→上方的，ね→おねえさん，姐姐。
例 姉あね が二人ふたり いる。/我有两个姐姐。"
あ,04 「あ」表示“向上移动，上，上方”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あめ「雨」 ①（名）：雨,"解 あ→上方的，め→み→みず→水。
例 雨あめ が降ふ りそうだ。/看起来要下雨了。"
あ,04 「あ」表示“向上移动，上，上方”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あびる「浴びる」 ⓪（他一）：浇，淋,"解 あ→上方。
例 毎まい 朝あさ シャワーを浴あ びる。/我每天早上洗淋浴。"
あ,04 「あ」表示“向上移动，上，上方”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あふれる「溢れる」 ③（自一）：充满，溢出,"解 あ→向上，ふ→膨胀→喷涌，れ→来（联想法）。
例 鍋なべ の中なか のスープが溢あふ れた。/锅里的汤溢出来了。"
あ,04 「あ」表示“向上移动，上，上方”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あおぐ「仰ぐ·扇ぐ」 ②（他五）：仰望，仰视；扇动,"解 あ→向上。也可以采用联想法：あお→蓝色，天空是蓝色的。
例 仰あお いで空そら を見み る。/仰望天空。"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あわ「泡」 ②（名）：泡，沫,"解 あ→向上，わ→圆。水中冒出来的圆形水泡。
例 石鹸せっけん の泡あわ で遊あそ ぶ。/玩肥皂泡。
解析 人类自然发出的感叹声，如汉语的“啊”“ 哎呀”“啊呀”。
熟词联想 あぶない「危ない」：危险
あらし「嵐」：暴风雨"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あやうい「危うい」 ⓪③（形）：危险的,"解 あや→哎呀。
例 戦せん 争そう の地ち 域いき に行い くと命いのち が危あや うい。/去战地会有生命危险。"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あやまち「過ち」 ③⓪④（名）：过失，错误,"解 あや→哎呀，出错的时候发出的声音。まち→まちがえる→間違える，犯错。
例 だれでも過あやま ちを犯おか す。/谁都会犯错误。"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あやまる「誤る」 ③（自他五）：搞错，犯错,"解 あや→哎呀。
例 運うん 転てん 手しゅ が方ほう 向こう を誤あやま った。/司机弄错方向了。
拓 あやまり「誤り」：错误"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あやまる「謝る」 ③（自他五）：道歉，赔礼,"解 あや→哎呀。
例 先せん 生せい に謝あやま ってください。/（快）向老师道歉。"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あやしい「怪しい」 ⓪③（形）：可疑的,"解 あや→啊呀。
例 学がっ 校こう 前まえ に怪あや しい人ひと がいる。/学校前面有个可疑的人。"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あやふや ⓪（形动）：含糊不清的,"解 あや→啊呀，ふや→呜呀。支支吾吾说不清→含糊不清。
例 あやふやな返へん 事じ をする。/含糊不清地回答。"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あらい「荒い·粗い」 ⓪②（形）：凶猛的，粗暴的；粗糙的,"解 あら→あや→啊呀，面对粗暴、粗糙的事物时感到惊讶。
例 動どう 作さ が荒あら い。/动作粗暴。
仕し 事ごと が粗あら い。/工作不认真。"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あらすじ「粗筋」 ⓪（名）：梗概，概要,"解 あら→粗→粗糙。すじ→本义为“筋”→引申出“竖条纹”之意→梗概，情节。
例 物語もの がたり の粗あら 筋すじ を語かた る。/讲述故事的梗概。"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あらす「荒らす」 ⓪（他五）：破坏，损伤；损坏,"解 あら→面对粗暴事物时的感叹声，す→使，让。
例 猪いのしし が作さく 物もつ を荒あ らした。/野猪破坏了庄稼。"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あらし「嵐」 ①（名）：暴风雨,"解 与「荒あ らす」同源。
例 嵐あらし がようやく静しず まった。/暴风雨终于停了。"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あらそう「争う」 ③（他五）：竞争，争夺，争斗,"解 あら→面对粗暴争斗时感到惊讶。
例 選せん 手しゅ たちは優ゆう 勝しょう を争あらそ う。/选手们争夺冠军。"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あえぐ「喘ぐ」 ②（自五）：喘，喘气；挣扎,"解 あえ→人急促的喘气声。
例 あえぎながら階かい 段だん を上あ がる。/喘着气爬楼梯。"
あ,05 「あ」表示感叹，代表性的有表示“大事不好”的「あや」和表示“惊叹”的「あら」,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あぶない「危ない」 ⓪③（形）：危险的,"解 あ→感叹词。也可以采用联想法：あぶ→啊，不好。
例 危あぶ ないから触さわ るな。/危险，别碰！"
あ,06 「あう」表示“两个事物聚集在一起”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あわれ「哀れ」 ①（形动）：悲哀的，哀伤的；可怜的,"解 あわ→哀伤时自然发出的感叹声。
例 世よ の中なか に哀あわ れな人ひと 々びと は多おお い。/世上有许多可怜人。
熟词联想 あう「合う」：见面；遭遇"
あ,06 「あう」表示“两个事物聚集在一起”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あう「合う·会う·遭う」 ①（自五）：见面；遭遇；一致；正确,"派 本义为“两个事物聚集到一起”。1. 见面（事物聚合→见面）；2. 遭遇（和不好的事物聚合到一起）；3. 一致（事物聚合→达成一致）；4. 正确（和标准答案一致）。
例 先せん 生せい と会あ う/和老师见面
答こた えがあっている。/回答正确。
彼かれ と俺おれ の意い 見けん がよくあう。/我们的观点很一致。
地じ 震しん に遭あ った。/遭遇了地震。"
あ,06 「あう」表示“两个事物聚集在一起”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あいて「相手」 ③（名）：伙伴；对象；对手,"解 あい→聚集到一起，て→手て ，日语中喜欢用“手”指代“人”。在一起的人→对手；伙伴。
例 結けっ 婚こん の相あい 手て がいない。/没有结婚的对象。"
あ,06 「あう」表示“两个事物聚集在一起”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あいかわらず「相変わらず」 ⓪（副）：仍旧，照旧,"解 あい→聚合→把事物放在一起比较，「ず」是「ないで」的古语，変かわ らず＝変かわ らない→和以前相比没变。
例 奥おく さんは相あい 変か わらずお美うつく しいですね。/夫人您还是像以前一样美丽呢。"
あ,06 「あう」表示“两个事物聚集在一起”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あいにく「生憎」 ⓪（副·形动）：不凑巧（的）,"解 あい→あう→会う→遇到，にく→憎い→難い→难于。难遇到→不凑巧。
例 卓たっ 球きゅう をしたかったのに、あいにく相あい 手て が留る 守す だった。/本来很想打乒乓球，不巧球友不在家。"
あ,07 「ある」表示“存在”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あわせる「合わせる」 ③（他一）：合并，混合；核对,"解 从「あう」的使役态演变而来。
例 二ふた つの組くみ を合あ わせる。/把两个小组合并起来。
熟词联想 ある：有，存在"
あ,07 「ある」表示“存在”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ ある「有る」 ①（自五）：有，存在,"解 ある→有，存在。
例 机つくえ の上うえ にパンがある。/桌子上有面包。"
あ,07 「ある」表示“存在”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あらゆる 」③（连体）：所有的,"解 あら→ある→有，存在，ゆる→连体词后缀（连体词指连接名词的词）。有→所有的。
例 あらゆる問もん 題だい が解決かい けつ された。/所有的问题都解决了。"
あ,07 「ある」表示“存在”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あらわす「表す·現す」 ③（他五）：表现；表达，表明；出现,"解 派生自「ある」。存在→出现。
例 感かん 謝しゃ の意い を表あらわ す。/表示感谢。"
あ,07 「ある」表示“存在”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あらわれる「表れる·現れる」 ④（自一）：显露，表现；出现,"解 「あらわす」的自动词。
例 家いえ に帰かえ ると本性ほん しょう が現あらわ れた。/一回到家本性就露出来了。"
あ,07 「ある」表示“存在”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ ありがたい「有難い」 ④（形）：难得的；可贵的；值得感谢的,"解 由「あり」和「かたい」组合而成。あり→有，かたい→困难。难有→难得。另外，「たい」音变成更适合口语发音的「とう」→ありがとう，难得→感谢。
例 これは有あり 難がた いチャンスだ。/这可是难得的机会。"
あ,08 「あらた」表示“崭新；重新”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ ありのまま ⑤⓪（名·副）：真实，事实上；实事求是,"解 あり→有，存在，まま→保持原状态。存在的原状态→真实，事实上。
例 ありのままの自じ 分ぶん を見み せる。/表现真实的自己。
熟词联想 あらう「洗う」：洗（洗的本义是使物体看起来新）"
あ,08 「あらた」表示“崭新；重新”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あらう「洗う」 ⓪（他五）：洗,"解 あら→新。
例 服ふく を洗あら う/洗衣服"
あ,08 「あらた」表示“崭新；重新”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あらた「新た」 ①（形动）：新的,"解 あらた→新。
例 駅えき 前まえ に新あら たな映えい 画が 館かん ができた。/车站附近新开了家电影院。"
あ,08 「あらた」表示“崭新；重新”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あたらしい「新しい」 ④（形）：新的；新鲜的,"解 「あたら」是「あらた」调整了后两个假名的顺序变成的。
例 新あたら しい先生せん せい が来き た。/来了一位新老师。"
あ,08 「あらた」表示“崭新；重新”,"解析 あ是50 音图中发音最洪亮的假名，故有明亮之感。
熟词联想 あかい「赤い」：红色的",▶ あらためる「改める」 ④（他一）：改变；修正,"解 あらた→新的→改变，める→他动词后缀。
例 ゲームのルールを改あらた める。/改变游戏规则。"
い,09 「い」表示“生命，生活”,熟词联想 いる：有生命的物体的存在。,▶ いる「居る」 ⓪（自一）：在，有（用于有生命的物体）,"解 い→生命。
例 部へ 屋や に三さん 人にん がいる。/房间里有三个人。"
い,09 「い」表示“生命，生活”,熟词联想 いる：有生命的物体的存在。,▶ いきる「生きる」 ②（自一）：活，生存；维持生活,"解 い→生命。きる→くる→来（联想法）。有生命来→还活着。
例 まだ生い きているよ。/还活着。"
い,09 「い」表示“生命，生活”,熟词联想 いる：有生命的物体的存在。,▶ いきいき「生き生き」 ③（副·自サ）：生机盎然，有精神；栩栩如生,"解 派生自「生い きる」。
例 この絵え はいきいきとしている。/这幅画栩栩如生。"
い,09 「い」表示“生命，生活”,熟词联想 いる：有生命的物体的存在。,▶ いき「息」 ①（名）：气息；呼吸,"解 和「生い きる」同源，人活着就有气息。
例 まだ息いき がある。/还有气。"
い,09 「い」表示“生命，生活”,熟词联想 いる：有生命的物体的存在。,▶ いびき「鼾」 ③（名）：打鼾声,"解 い→息いき ，ひき→響ひび き→响。呼吸的声响→打鼾。
例 鼾いびき をかく/打鼾"
い,09 「い」表示“生命，生活”,熟词联想 いる：有生命的物体的存在。,▶ いかす「生かす·活かす」 ②（他五）：活用，发挥；使活着,"解 「いきる」的他动词。す→使，让。以「す」结尾的动词都是他动词。
例 才さい 能のう を十じゅう 分ぶん に生い かす。/充分发挥才能。"
い,09 「い」表示“生命，生活”,熟词联想 いる：有生命的物体的存在。,▶ いけばな「生け花」 ②（名）：插花，日本传统花道,"解 いけ→生，ばな→はな→花。将摘下的花朵插入容器中，防止其枯萎与死亡。
例 日に 本ほん で生い け花ばな を習なら う。/在日本学习插花。"
い,09 「い」表示“生命，生活”,熟词联想 いる：有生命的物体的存在。,▶ いのち「命」 ①（名）：生命；一生,"解 いのち→息いき の内うち （有气息的时候）。
例 短みじか い命いのち を終お えた。/结束了短暂的生命。"
い,09 「い」表示“生命，生活”,熟词联想 いる：有生命的物体的存在。,▶ いね「稲」 ①（名）：水稻,"解 い→生命，ね→根ね →植物。与生命有关的植物→水稻。
例 日に 本ほん 人じん は古ふる くから稲いね を植う えてきた。/日本人从很久以前就开始种植水稻。"
い,10 「いた」表示“疼痛”,熟词联想 いる：有生命的物体的存在。,▶ いなずま「稲妻」 ⓪（名）：闪电,"解 いな→いね→稲，古人认为闪电会让稻子受孕。ずま→つま→妻，古时用来称呼配偶，不分性别。
例 稲いな 妻ずま が走はし る。/打闪。
熟词联想 いたい「痛い」：疼痛"
い,10 「いた」表示“疼痛”,熟词联想 いる：有生命的物体的存在。,▶ いたい「痛い」 ②（形）：疼的，痛的,"解 いた→疼痛。
例 重じゅう 労ろう 働どう で腰こし が痛いた い。/因为做重体力劳动而腰痛。"
い,10 「いた」表示“疼痛”,熟词联想 いる：有生命的物体的存在。,▶ いたむ「痛む」 ②（自五）：疼痛；痛苦，悲痛,"解 「痛い」的动词形式。
例 友とも 達だち の不ふ 幸こう を思おも うと心こころ が痛いた む。/一想到朋友的不幸，心就很痛。"
い,10 「いた」表示“疼痛”,熟词联想 いる：有生命的物体的存在。,▶ いためる「痛める」 ③（他一）：使疼痛；使痛苦,"解 いた→疼痛，める→他动词后缀。
例 人ひと の心こころ を痛いた める。/使人心痛。"
い,10 「いた」表示“疼痛”,熟词联想 いる：有生命的物体的存在。,▶ いためる「炒める」 ③（他一）：炒，炒菜,"解 和「痛める」同源。炒菜是让菜受损伤的过程。
例 白はく 菜さい を油あぶら で炒いた める。/用油炒白菜。"
い,10 「いた」表示“疼痛”,熟词联想 いる：有生命的物体的存在。,▶ いたわる「労る」 ③（他五）：照顾；安慰，慰劳,"解 いた→疼痛，照顾伤痛的人→照顾，慰劳。
例 けが人にん を労いたわ る/抚恤伤员"
い,11 「いう」表示“说，讲”,熟词联想 いる：有生命的物体的存在。,▶ いたずら「悪戯」 ⓪（名·形动·自サ）：恶作剧，玩弄,"解 いた→疼痛，ずら→つらい→痛苦，给别人带来痛苦→恶作剧。
例 あの子こ は悪戯いたずら が好す きだ。/那孩子喜欢做恶作剧。
熟词联想 いう「言う」：说，讲"
い,11 「いう」表示“说，讲”,熟词联想 いる：有生命的物体的存在。,▶ いう「言う」 ⓪（他五）：说，讲,"解 いう→说，讲。
例 社しゃ 長ちょう の悪わる 口くち を言い う。/讲社长的坏话。"
い,11 「いう」表示“说，讲”,熟词联想 いる：有生命的物体的存在。,▶ いいつける「言いつける」 ④（他一）：吩咐，命令,"解 いい→说，つける→本义为附着，把说的话附着在别人的身上→命令，吩咐。
例 子こ どもに買か い物もの を言い いつける。/吩咐孩子去买东西。"
い,11 「いう」表示“说，讲”,熟词联想 いる：有生命的物体的存在。,▶ いわう「祝う」 ②（他五）：祝福；庆祝,"解 本义指说祝福的话，派生自「言い う」。
例 家か 族ぞく が誕たん 生じょう 日び を祝いわ ってくれた。/家人给我过了生日。"
い,11 「いう」表示“说，讲”,熟词联想 いる：有生命的物体的存在。,▶ いわば「言わば」 ①②（副）：说起来；譬如，举例说,"解 いわ→いう→说，ば→如果。如果说→说起来。
例 この携けい 帯たい はいわば小こ 型がた パソコンのようだ。/这个手机就像一台小电脑。"
い,12 「いや」表示“讨厌”,熟词联想 いる：有生命的物体的存在。,▶ いわゆる「所謂」 ③②（连体）：所谓的，世人常说的,"解 いわ→いう→说，ゆる→连体词后缀。
例 所いわ 謂ゆる 天才てん さい とは違ちが う。/和所谓的天才不同。
熟词联想 い や「嫌·厭」：讨厌的"
い,12 「いや」表示“讨厌”,熟词联想 いる：有生命的物体的存在。,▶ いや「嫌·厭」 ②（形动）：讨厌的,"解 いや→讨厌。
例 この部へ 屋や は嫌いや なにおいがする。/这个房间里有令人讨厌的气味。"
