Word,WordPhonetic,WordTune,Part,WordDef,Remark,Level
後ろ,うしろ,0,名,后面,【记】う（无）+し（稀）+ろ（落）→（落）后,N5
後ろ足,うしろあし,"0,3",名,后腿,【记】う（无）+し（稀）+ろ（落）→（落）后；あ（恶）+し（像）→身体脏的地方→腿；脚,N5
嘘,うそ,1,名,谎言，假话,【记】う（无）+そ（其）→没有它→假,N5
歌,うた,2,名,歌，歌曲,【记】う（呜）+た（它）→吟唱,N5
家,うち,2,名,房子；自己的家,【记】う（屋）+ち（地）→屋子里的地方→房子,N5
内,うち,0,名,内，里面；内部，我们（的公司、学校等）；我（女性称谓）,【记】う（屋）+ち（地）→屋子里的地方→内,N5
腕,うで,2,名,胳膊；本事，本领,【记】う（うえ→上）+て（手）+浊音（拖泥带水→有关）→手上面的与手连接在一起的→胳膊,N5
馬,うま,2,名,马,【记】う（接头词）+ま（马）→马,N5
海,うみ,1,名,海,【记】う（涡）+み（みず→水）→形成漩涡的水→海,N5
裏,うら,2,名,背面，反面；内心；内情,【记】う（屋）+ら（拉）→拉到屋子里→里面,N5
売り場,うりば,0,名,卖场,【记】う（无）+り（る→留→长）→卖了就没了→卖,N5
上着,うわぎ,0,名,上衣，外套,【记】う（宇）+わ（あ→上）→宇宙上→上；き（起）+る（长）→让衣服起来→穿,N5
運,うん,1,名,运气,,N5
運転,うんてん,0,名,驾驶（地面交通工具）；（机器、资金）运转,,N5
運転手,うんてんしゅ,3,名,司机,,N5
運動,うんどう,0,名,运动,,N5
運動会,うんどうかい,3,名,运动会,,N5
絵,え,1,名,图画,,N5
映画,えいが,"1,0",名,电影,,N5
映画館,えいがかん,3,名,电影院,,N5
英語,えいご,0,名,英语,,N5
駅,えき,1,名,（电车、地铁的）车站,【记】え（へ→方向）+き（木）→一棵一棵树的方向→车站,N5
駅前,えきまえ,"3,0",名,（电车、地铁的）车站周边,【记】え（へ→方向）+き（木）→一棵一棵树的方向→车站；ま（满）+え（へ→方向）→满的方向→前,N5
蝦/海老,えび,0,名,虾,【记】え（へ→方向）+び（微）→能变方向的小东西→虾身体的弯曲→虾,N5
円,えん,1,名,圆形；日元,,N5
鉛筆,えんぴつ,0,名,铅笔,,N5
お祝い,おいわい,0,名,庆祝，祝贺,【记】い（意）+わ（哇）+い（う→ふ→風→状态）→意识上雀跃→祝贺,N5
お母さん,おかあさん,2,名,妈妈,,N5
お陰,おかげ,0,名,庇护；托……的福,【记】か（加）+け（き→気）+浊音（拖泥带水→有关）→添加（在身体旁边）→影→庇护,N5
お菓子,おかし,2,名,点心，糖果,,N5
億,おく,1,名,亿,,N5
奥さん,おくさん,1,名,夫人，太太,,N5
贈り物,おくりもの,0,名,礼物，礼品,【记】お（う→宇→大）+く（根据字形→方向）+り（る→留→长）→赠送+物→赠送的东西,N5
おじ,おじ,0,名,叔叔；舅舅；伯伯；姑父；姨父,,N5
おじいさん,おじいさん,2,名,爷爷，祖父；姥爷，外祖父,,N5
押入れ,おしいれ,0,名,壁橱,【记】お（大→甲）+す（做）→手+甲→押→推；い（一）+れ（来）→一个来→入。押し+入れ→推进去→壁橱,N5
お嬢さん,おじょうさん,2,名,令爱；小姐,,N5
お茶,おちゃ,0,名,茶（具体指日本绿茶）,,N5
夫,おっと,0,名,丈夫,【记】お（雄）+と（ひと→人）→男人→丈夫,N5
お釣り,おつり,0,名,找的零钱,【记】つ（刺）+り（る→留→长）→钓；お（御）+釣り→从钱箱里找出的零钱,N5
お手洗い,おてあらい,3,名,洗手间,【记】あ（恶）+ら（拉）+い（う→ふ→風→状态）→把坏的东西拉走→洗；お（御）+手洗い→洗手间,N5
音,おと,2,名,（东西发出的）声响,【记】お（う→宇→大）+と（咚）→声响,N5
男,おとこ,3,名,男的，男人,【记】お（雄）+と（ひと→人）+こ（子）→男,N5
男の子,おとこのこ,3,名,男孩子,,N5
一昨日,おととい,3,名,前天,,N5
一昨年,おととし,2,名,前年,,N5
大人,おとな,0,名,成人，大人,【记】お（雄）+と（ひと→人）+な（なる→成る→是）→大人,N5
踊り,おどり,0,名,舞蹈；跳舞,【记】お（御）+ど（蹈）+り（る→留→长）→蹈,N5
お腹,おなか,0,名,腹部，肚子,【记】お（御）+なか（中）→人体的中间→腹部,N5
おば,おば,0,名,（用于向外人介绍自家人时）阿姨；姑姑；婶婶；舅妈,,N5
おばあさん,おばあさん,2,名,奶奶，祖母；姥姥，外祖母,,N5
お昼,おひる,2,名,中午；午饭,【记】お（御）+ひ（日）+る（る→留→长）→太阳长→中午,N5
お祭り,おまつり,0,名,节，节日；祭祀,【记】ま（满→真）+つ（刺→方向）+り（る→留→长）→聚集在一起→祭祀活动,N5
おもちゃ,おもちゃ,2,名,玩具,【记】お（御）+も（もの→物）+ちゃ（小）→小东西→玩具,N5
親,おや,2,名,父母,【记】お（う→宇→大）+や（也→是）→是大的→家长→父母,N5
俺,おれ,0,名,（用于男人称呼自己时，语气粗鲁）我,【记】お（我）+れ（类）→我,N5
終わり,おわり,0,名,完，结束；死,【记】お（御）+わ（完）+り（る→留→长）→完,N5
音楽,おんがく,1,名,音乐,,N5
女,おんな,0,名,女的，女性,【记】お（御）+ん（め→女）+な（め→女）→女,N5
女の子,おんなのこ,3,名,女孩子,,N5
会,かい,1,名,会，会议,,N5
階,かい,1,名,层，楼,,N5
回,かい,1,名,回，次,,N5
海外,かいがい,1,名,海外，外国,,N5
会館,かいかん,0,名,会馆,,N5
会議,かいぎ,"1,3",名,会议,,N5
会議室,かいぎしつ,3,名,会议室,,N5
外国,がいこく,0,名,外国,,N5
外国人,がいこくじん,4,名,外国人,,N5
会社,かいしゃ,0,名,公司,,N5
会場,かいじょう,0,名,会场,,N5
階段,かいだん,0,名,台阶，楼梯,,N5
買い物,かいもの,0,名,购物,【记】か（加）+い（う→ふ→風→状态）→买；買い+物→买东西,N5
会話,かいわ,0,名,会话,,N5
帰り,かえり,3,名,回来；回程,【记】か（家）+え（へ→方向）+り（る→留→长）→往家的方向→回,N5
顔,かお,0,名,脸；表情；神色；面子,【记】か（加）+お（根据嘴型→圆）→很圆的→脸,N5
科学,かがく,1,名,科学,,N5
鍵,かぎ,2,名,钥匙；关键,【记】か（加）+き（きん→金）+浊音（拖泥带水→有关）→加上一个有关的金属→钥匙,N5
書き方,かきかた,"3,4",名,写法,【记】か（加）+き（く→根据字形→方向）→写；か（加）+た（多）→方,N5
学生,がくせい,0,名,学生,,N5
学部,がくぶ,"0,1",名,院；系,,N5
影/陰,かげ,1,名,影子；阴影,【记】か（加）+け（き→気）+浊音（拖泥带水→有关）→添加（在身体边儿上）的感觉→阴影,N5
傘,かさ,1,名,伞,【记】か（加）+さ（伞）→伞,N5
火事,かじ,1,名,火灾,,N5
風,かぜ,0,名,风；风俗习惯,【记】か（加）+ぜ（灾）→添加灾难→风,N5
風邪,かぜ,0,名,感冒,【记】か（加）+ぜ（灾）→添加灾难→生病→感冒,N5
家族,かぞく,1,名,一家人，家里人,,N5
肩,かた,1,名,肩，肩膀，肩部,【记】か（加）+た（多）→かたい→坚固→肩上扛物要结实→肩膀,N5
方,かた,2,名,方向，方位，方面；（人的尊称）位,【记】か（加）+た（多）→方向,N5
片仮名,かたかな,"3,2",名,片假名,,N5
形,かたち,0,名,形状；形式,【记】か（加）+た（多）+ち（地）→很多地方→形,N5
課長,かちょう,0,名,科长,,N5
格好,かっこう,0,名,样子，打扮,,N5
学校,がっこう,0,名,学校,,N5
各国,かっこく,1,名,各国,,N5
家庭,かてい,0,名,家庭,,N5
角,かど,1,名,角；拐角,【记】か（加）+と（地方）+浊音（拖泥带水→有关）→添加一个地方与其有关→角,N5
家内,かない,1,名,家里；我的妻子,,N5
金,かね,0,名,金属；金钱,【记】か（火）+ね（黏）→火炼成的黏稠物→金,N5
金持ち,かねもち,"3,4",名,有钱人,【记】か（火）+ね（黏）→火炼成的黏稠物→金；も（物）+ち（つ→て→手）→手上放东西→持有,N5
彼女,かのじょ,1,名,她；女朋友,,N5
鞄,かばん,0,名,包；皮包；书包,【记】か（かわ→革）+ばん（包）→革+包→（皮）包,N5
花瓶,かびん,0,名,花瓶,,N5
壁,かべ,0,名,墙，墙壁,【记】か（加）+べ（边）→添加一边→墙,N5
神,かみ,1,名,神,【记】か（日→太阳）+み（も→もの→物）→神,N5
紙,かみ,2,名,纸,【记】か（日→太阳）+み（も→もの→物）→神→古代日本认为纸是神一样的发明→纸,N5
髪,かみ,2,名,头发,【记】か（日→太阳）+み（も→もの→物）→太阳在上面→人体最上面的东西→头发,N5
髪の毛,かみのけ,"2,3",名,头发,【记】か（日→太阳）+み（も→もの→物）→太阳在上面→人体最上面的东西→头发；け（こ→己→小）→小东西→毛发,N5
雷,かみなり,"3,4",名,雷,【记】かみ（神）+なり（なる→鳴る）→神鸣→打雷,N5
火曜日,かようび,2,名,星期二,,N5
体,からだ,0,名,身体,【记】から（空→殻）+だ（是→躯壳）→（佛）四大皆空→身体,N5
彼,かれ,1,名,他,,N5
彼ら,かれら,1,名,他们,,N5
川/河,かわ,2,名,河，河流,【记】か（加）+わ（弯）→川为直，河为弯→河,N5
側,がわ,0,名,一侧，一方,,N5
代わり,かわり,0,名,代替，替代,【记】か（加）+わ（弯）+り（る→留→长）→交换,N5
缶,かん,1,名,罐子,,N5
考え,かんがえ,3,名,考虑，思考；研究,【记】かん（勘→直觉）+が（状态）+える（得る）→得到直觉→考虑,N5
考え方,かんがえかた,"5,6",名,想法,,N5
漢字,かんじ,0,名,汉字,,N5
木,き,1,名,树；木头,,N5
気,き,1,名,气，空气；气氛；心情；感觉,,N5
黄色,きいろ,0,名,黄颜色,,N5
気温,きおん,0,名,气温,,N5
機会,きかい,"2,0",名,机会,,N5
季節,きせつ,"2,1",名,季节,,N5
北,きた,"0,2",名,北，北方,【记】き（ひ→日）+た（他→绝）→阳光断绝的地方→北,N5
喫茶店,きっさてん,0,名,茶馆；咖啡馆,,N5
切手,きって,0,名,邮票,,N5
切符,きっぷ,0,名,票，车票,,N5
昨日,きのう,2,名,昨天,,N5
君,きみ,0,名,（不礼貌的称呼）你,【记】き（貴）+み（も→もの→物）→尊称→您→现代日语变为不礼貌的称呼→（上对下）你,N5
気持ち,きもち,0,名,（外因引起的）心情，感觉,,N5
着物,きもの,0,名,和服,,N5
客,きゃく,0,名,客人,,N5
九,きゅう,1,名,九,,N5
九個,きゅうこ,1,名,九个,,N5
急行,きゅうこう,0,名,快车,,N5
九歳,きゅうさい,1,名,九岁,,N5
九冊,きゅうさつ,1,名,九册，九本,,N5
九足,きゅうそく,1,名,九双（鞋、袜子等）,,N5
九着,きゅうちゃく,1,名,九套（衣服）,,N5
九通,きゅうつう,1,名,九封（信）,,N5
九度,きゅうど,1,名,九次；九度,,N5
九頭,きゅうとう,1,名,九头，九匹（牛、马、象等大型动物）,,N5
牛肉,ぎゅうにく,0,名,牛肉,,N5
牛乳,ぎゅうにゅう,0,名,牛奶,,N5
九年,きゅうねん,1,名,九年；九年级,,N5
九杯,きゅうはい,1,名,九杯,,N5
九番,きゅうばん,1,名,第九个，第九号,,N5
九匹,きゅうひき,1,名,九条，九只（狗、金鱼、猫、昆虫等）,,N5
九本,きゅうほん,1,名,九根儿；九条；九瓶（细长的东西）,,N5
九枚,きゅうまい,1,名,九张，九片,,N5
九羽,きゅうわ,1,名,九只（鸡、鸭、鸟、兔等）,,N5
今日,きょう,1,名,今天,,N5
教科書,きょうかしょ,3,名,教科书，课本,,N5
教室,きょうしつ,0,名,教室,,N5
兄弟,きょうだい,1,名,兄弟姐妹,,N5
興味,きょうみ,"1,3",名,兴趣,,N5
去年,きょねん,1,名,去年,,N5
金,きん,1,名,金,,N5
銀,ぎん,1,名,银,,N5
銀行,ぎんこう,0,名,银行,,N5
禁止,きんし,0,名,禁止,,N5
金曜日,きんようび,3,名,星期五,,N5
九,く,1,名,九,,N5
区,く,1,名,（行政上的）区,,N5
空気,くうき,1,名,空气；气氛,,N5
空港,くうこう,0,名,机场,,N5
九時,くじ,1,名,九点,,N5
薬,くすり,0,名,药,【记】くすり（苦死了）→药,N5
薬屋,くすりや,0,名,药店,,N5
果物,くだもの,2,名,水果,【记】く（根据字形→方向）+だ（达→达到→下落）→下落+物→水果成熟后从树上落下,N5
口,くち,0,名,口，嘴,【记】く（こ→口）+ち（乞）→口+乞→吃→嘴,N5
靴,くつ,0,名,鞋子,【记】く（库）+つ（刺→向前突出）→向前突出的仓库→鞋,N5
靴下,くつした,2,名,袜子,,N5
国,くに,0,名,国家,,N5
首,くび,0,名,脖子,【记】く（根据字形→方向）+び（微）→可以变动方向的小东西→脖子,N5
雲,くも,1,名,云,【记】く（くろ→黒）+も（もの→物）→（乌）云,N5
曇り,くもり,0,名,天空多云；模糊；发愁；阴沉,【记】く（くろ→黒）+も（もの→物）→（乌）云→曇+り（る→留→长）→多云,N5
車,くるま,0,名,车，汽车,【记】くるま（轱辘满）→车,N5
黒,くろ,1,名,黑色,【记】く（根据字形→方向）+ろ（落）→一直涂抹→黑,N5
毛,け,0,名,毛发；毛线；羽毛,【记】け（こ→己→小）→小东西→毛发,N5
計画,けいかく,0,名,计划,,N5
警察,けいさつ,0,名,警察,,N5
今朝,けさ,1,名,今天早晨,,N5
消しゴム,けしゴム,0,名,橡皮,【记】け（こ→己→小xiao；け→下xia）+す（做）→消xiao,N5
結構,けっこう,1,名,可以；不需要,,N5
結婚,けっこん,0,名,结婚,,N5
月曜日,げつようび,3,名,星期一,,N5
県,けん,1,名,（日本的）县,,N5
券,けん,1,名,票，券,,N5
原因,げんいん,0,名,原因,,N5
喧嘩,けんか,0,名,吵架；打架,,N5
玄関,げんかん,1,名,玄关,,N5
元気,げんき,1,名,精神,,N5
現在,げんざい,1,名,现在,,N5
個,こ,0,名,个,,N5
子,こ,0,名,子女；孩子,,N5
五,ご,0,名,五,,N5
語,ご,0,名,单词，词语,,N5
公園,こうえん,0,名,公园,,N5
工場,こうじょう,3,名,工厂,,N5
紅茶,こうちゃ,0,名,红茶,,N5
校長,こうちょう,0,名,校长,,N5
交通,こうつう,0,名,交通,,N5
行動,こうどう,0,名,行动,,N5
声,こえ,1,名,（人或动物发出的）声音,【记】こ（ご→过）+え（へ→方向）→传过来的→声,N5
五回,ごかい,0,名,五回，五次,,N5
五階,ごかい,0,名,五层，五楼,,N5
五月,ごがつ,1,名,五月,,N5
国際,こくさい,0,名,国际,,N5
此処,ここ,0,名,这里,,N5
五個,ごこ,1,名,五个,,N5
午後,ごご,1,名,下午,,N5
九日,ここのか,0,名,九日，九号；九天,,N5
九日間,ここのかかん,4,名,九天,,N5
九つ,ここのつ,2,名,九个；九岁,,N5
心,こころ,"2,3",名,心,【记】こ（此）+こ（此）+ろ（ところ→所）→此处→心,N5
五歳,ごさい,1,名,五岁,,N5
五冊,ごさつ,1,名,五册，五本,,N5
五時,ごじ,1,名,五点,,N5
故障,こしょう,0,名,故障,,N5
午前,ごぜん,1,名,上午,,N5
五足,ごそく,1,名,五双（鞋、袜子等）,,N5
答え,こたえ,0,名,回答；响应,【记】こ（己）+た（他）+え（へ→方向）→把自己的想法给他人→答,N5
こちら,こちら,0,名,这里，这边；这位,,N5
五着,ごちゃく,1,名,五套（衣服）,,N5
五通,ごつう,1,名,五封（信）,,N5
事,こと,0,名,事情,,N5
五度,ごど,1,名,五次；五度,,N5
五頭,ごとう,1,名,五头，五匹（牛、马、象等大型动物）,,N5
今年,ことし,0,名,今年,,N5
言葉,ことば,0,名,单词；语言,,N5
子供,こども,0,名,孩子,,N5
五年,ごねん,1,名,五年；五年级,,N5
この間,このあいだ,0,名,前几天，最近,【记】あい（合い→互相之间）+だ（是）→间隔；この+間→这期间,N5
この辺,このへん,0,名,这附近,,N5
五杯,ごはい,1,名,五杯,,N5
ご飯,ごはん,1,名,饭,,N5
五番,ごばん,1,名,第五个，第五号,,N5
ごみ,ごみ,0,名,垃圾,【记】こ（己→小）+浊音（污浊）+み（も→もの→物）→污浊的小东西→垃圾,N5
ゴミ箱,ゴミばこ,"3,0",名,垃圾箱,【记】こ（己→小）+浊音（污浊）+み（も→もの→物）→污浊的小东西→垃圾；は（哈→放）+こ（口）→开口的东西→箱子,N5
五匹,ごひき,1,名,五条，五只（狗、金鱼、猫、昆虫等）,,N5
五分,ごふん,1,名,五分（钱）；五分钟,,N5
五本,ごほん,1,名,五根儿；五条；五瓶（细长的东西）,,N5
五枚,ごまい,1,名,五张，五片,,N5
米,こめ,0,名,大米,【记】こ（己→小）+め（も→もの→物）→米,N5
これ,これ,0,名,这个,【记】こ（此）+れ（类）→这个,N5
これから,これから,0,名,今后,,N5
五羽,ごわ,1,名,五只（鸡、鸭、鸟、兔等）,,N5
今回,こんかい,1,名,这次,,N5
今月,こんげつ,0,名,这个月,,N5
今週,こんしゅう,0,名,这个星期,,N5
今晩,こんばん,1,名,今晚,,N5
最近,さいきん,0,名,最近,,N5
最後,さいご,1,名,最后,,N5
最初,さいしょ,0,名,最初,,N5
財布,さいふ,0,名,钱包,,N5
魚,さかな,0,名,鱼,【记】さか（さけ→酒）+な（な→菜）→下酒菜→鱼,N5
魚屋,さかなや,0,名,水产店,,N5
先,さき,0,名,先；尖部；末梢；前方；目的地；未来，前途,【记】さ（そ→其）+き（く→方向）→往那个（远的）方向→末梢→先（端）,N5
作文,さくぶん,0,名,作文,,N5
桜,さくら,0,名,樱花,【记】さく（咲く→开花）+ら（拉）→盛开→樱花,N5
酒,さけ,0,名,酒,,N5
冊,さつ,0,名,册，本,,N5
雑誌,ざっし,0,名,杂志,,N5
砂糖,さとう,2,名,砂糖,,N5
様,さま,0,名,样子；对人的尊称,,N5
再来月,さらいげつ,2,名,下下个月,,N5
再来週,さらいしゅう,0,名,下下周,,N5
再来年,さらいねん,0,名,后年,,N5
三,さん,0,名,三,,N5
三回,さんかい,0,名,三回，三次,,N5
三階,さんがい,0,名,三层，三楼,,N5
三月,さんがつ,1,名,三月,,N5
三個,さんこ,1,名,三个,,N5
三歳,さんさい,1,名,三岁,,N5
三冊,さんさつ,1,名,三册，三本,,N5
三時,さんじ,1,名,三点,,N5
三足,さんそく,1,名,三双（鞋、袜子等）,,N5
三着,さんちゃく,1,名,三套（衣服）,,N5
三通,さんつう,1,名,三封（信）,,N5
三度,さんど,1,名,三次；三度,,N5
三頭,さんとう,1,名,三头，三匹（牛、马、象等大型动物）,,N5
三年,さんねん,1,名,三年；三年级,,N5
三杯,さんばい,1,名,三杯,,N5
三番,さんばん,1,名,第三个，第三号,,N5
三匹,さんびき,1,名,三条，三只（狗、金鱼、猫、昆虫等）,,N5
三分,さんぷん,1,名,三分；三分钟,,N5
散歩,さんぽ,0,名,散步,,N5
三本,さんぼん,1,名,三根儿；三条；三瓶（细长的东西）,,N5
三枚,さんまい,1,名,三张，三片,,N5
三羽,さんわ,1,名,三只（鸡、鸭、鸟、兔等）,,N5
四,し,0,名,四,,N5
市,し,0,名,（行政单位）市；城市,,N5
字,じ,0,名,字,,N5
塩,しお,0,名,盐,【记】し（汐）+お（御）→咸→盐,N5
仕方,しかた,0,名,做法，办法,【记】し（す→做）+方→做法,N5
時間,じかん,0,名,时间,,N5
試験,しけん,2,名,考试,,N5
事故,じこ,1,名,事故,,N5
自己,じこ,1,名,自己,,N5
仕事,しごと,0,名,工作,,N5
辞書,じしょ,1,名,词典,,N5
地震,じしん,0,名,地震,,N5
下,した,0,名,下，下部，下方；年纪小,【记】した（下淌）→下,N5
時代,じだい,0,名,时代,,N5
七,しち,0,名,七,,N5
七月,しちがつ,0,名,七月,,N5
七時,しちじ,2,名,七点,,N5
失敗,しっぱい,0,名,失败,,N5
質問,しつもん,0,名,提问,,N5
失礼,しつれい,2,名,失礼,,N5
自転車,じてんしゃ,2,名,自行车,,N5
品物,しなもの,0,名,商品,,N5
字引,じびき,0,名,字典,,N5
社員,しゃいん,1,名,公司职员,,N5
写真,しゃしん,0,名,照片,,N5
社長,しゃちょう,0,名,总经理,,N5
週,しゅう,1,名,周，星期,,N5
十,じゅう,1,名,十,,N5
週間,しゅうかん,0,名,一个星期,,N5
十時,じゅうじ,1,名,十点,,N5
十度,じゅうど,1,名,十次；十度,,N5
十年,じゅうねん,1,名,十年,,N5
十番,じゅうばん,1,名,第十个，第十号,,N5
十枚,じゅうまい,1,名,十张，十片,,N5
週末,しゅうまつ,0,名,周末,,N5
十羽,じゅうわ,1,名,十只（鸡、鸭、鸟、兔等）,,N5
授業,じゅぎょう,1,名,课,,N5
宿題,しゅくだい,0,名,作业,,N5
主人,しゅじん,1,名,主人；丈夫,,N5
十個,じゅっこ,1,名,十个,,N5
十歳,じゅっさい,1,名,十岁,,N5
十冊,じゅっさつ,0,名,十册，十本,,N5
十足,じゅっそく,0,名,十双（鞋、袜子等）,,N5
十着,じゅっちゃく,0,名,十套（衣服）,,N5
十通,じゅっつう,1,名,十封（信）,,N5
十頭,じゅっとう,1,名,十头，十匹（牛、马、象等大型动物）,,N5
十杯,じゅっぱい,1,名,十杯,,N5
十匹,じゅっぴき,0,名,十条，十只（狗、金鱼、猫、昆虫等）,,N5
十本,じゅっぽん,1,名,十根儿；十条；十瓶（细长的东西）,,N5
趣味,しゅみ,1,名,爱好,,N5
使用,しよう,0,名,使用,,N5
紹介,しょうかい,0,名,介绍,,N5
小学校,しょうがっこう,3,名,小学,,N5
小説,しょうせつ,0,名,小说,,N5
醤油,しょうゆ,0,名,酱油,,N5
食堂,しょくどう,0,名,食堂,,N5
白,しろ,1,名,白，白色；没有关系，清白,【记】し（稀）+ろ（落）→没有沾染→白,N5
新幹線,しんかんせん,3,名,新干线,,N5
神社,じんじゃ,1,名,神社,,N5
心配,しんぱい,0,名,担心,,N5
新聞,しんぶん,0,名,报纸,,N5
図,ず,0,名,图,,N5
水曜日,すいようび,3,名,星期三,,N5
数学,すうがく,0,名,数学,,N5
寿司/鮨,すし,"2,1",名,寿司,,N5
背,せ,1,名,脊背；后面,,N5
世界,せかい,1,名,世界,,N5
席,せき,1,名,席，座位,,N5
石鹸,せっけん,0,名,肥皂；香皂,,N5
説明,せつめい,0,名,说明，解释,,N5
背中,せなか,0,名,后背,,N5
是非,ぜひ,1,名,是非；善恶,,N5
世話,せわ,0,名,照顾,,N5
線,せん,1,名,线条；路线,,N5
千,せん,1,名,（数量）千,,N5
千円,せんえん,1,名,一千日元,,N5
先月,せんげつ,1,名,上个月,,N5
